rollout/ep_len_mean,custom/win_rate,custom/loss_rate,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,custom/tie_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
,0.427,0.4925,,800000,,,0.0805,,-0.0008234745182562619,0.4185746908187866,192,0.004730224609375,0.11354255676269531,-0.3120109550654888,0.0001,0.8553538769483566,0.0013691918,0.2,-0.004,1.464
1.47,0.4345,0.4855,212,802816,3774,49,0.08,-0.075,,,,,,,,,,,,
1.46,0.4245,0.506,216,819200,3780,50,0.0695,-0.005,-0.0009495680678810459,0.40850117802619934,196,0.0015716552734375,0.10669010877609253,-0.30897695384919643,0.0001,0.8554802741855383,0.00090240076,0.2,,
1.43,0.4,0.5155,220,835584,3786,51,0.0845,-0.065,-0.0006483678662334569,0.4061580300331116,200,0.0037689208984375,0.11227136850357056,-0.30520033184438944,0.0001,0.8558750078082085,0.0009026576,0.2,,
,0.4445,0.4765,,840000,,,0.079,,-0.0005917593953199685,0.4131196141242981,204,0.001220703125,0.11423337459564209,-0.30553764291107655,0.0001,0.8509209621697664,0.00071740913,0.2,-0.096,1.4
1.38,0.416,0.494,224,851968,3790,52,0.09,0.035,,,,,,,,,,,,
1.54,0.4245,0.4975,228,868352,3798,53,0.078,-0.135,-0.0006724508020852227,0.41964858770370483,208,0.00738525390625,0.11147892475128174,-0.3068121103569865,0.0001,0.8479932025074959,0.0010787146,0.2,,
,0.4315,0.49,,880000,,,0.0785,,-0.0006818934598413762,0.4156772196292877,212,0.002227783203125,0.11480140686035156,-0.3095734156668186,0.0001,0.8523051384836435,0.0012830597,0.2,-0.008,1.484
1.45,0.4095,0.507,232,884736,3803,54,0.0835,-0.16,,,,,,,,,,,,
1.48,0.414,0.505,236,901120,3808,55,0.081,-0.24,-0.0006898246210766956,0.40612849593162537,216,0.0024871826171875,0.10497391223907471,-0.3059287937358022,0.0001,0.847521249204874,0.0005174406,0.2,,
1.51,0.4375,0.485,240,917504,3814,56,0.0775,0.02,-0.0004933430682285689,0.40640342235565186,220,0.0013580322265625,0.11047273874282837,-0.30153669137507677,0.0001,0.8500214163213968,0.00074144464,0.2,,
,0.444,0.485,,920000,,,0.071,,-0.0005942835086898413,0.4153721034526825,224,0.00567626953125,0.11311429738998413,-0.296411270275712,0.0001,0.8506585247814655,0.0015283803,0.2,-0.045,1.468
1.53,0.412,0.501,244,933888,3814,57,0.087,-0.02,,,,,,,,,,,,
1.5,0.426,0.495,249,950272,3815,58,0.079,0.04,-0.0004380327918624971,0.40842103958129883,228,0.003204345703125,0.10630464553833008,-0.2929679602384567,0.0001,0.8513578567653894,0.00068701466,0.2,,
,0.416,0.504,,960000,,,0.08,,-0.0004506783625402022,0.41482940316200256,232,0.00726318359375,0.10963350534439087,-0.2874584440141916,0.0001,0.8443859405815601,0.0017208776,0.2,0.005,1.536
1.5,0.429,0.4935,253,966656,3815,59,0.0775,-0.19,,,,,,,,,,,,
1.56,0.432,0.483,257,983040,3819,60,0.085,-0.14,-0.000561113323783502,0.4051750898361206,236,0.005584716796875,0.10895580053329468,-0.2909898879006505,0.0001,0.8509550578892231,0.001075737,0.2,,
1.55,0.4215,0.493,261,999424,3821,61,0.0855,-0.085,-0.0005485661240527406,0.4072380065917969,240,0.002838134765625,0.10357767343521118,-0.2732308255508542,0.0001,0.8467835001647472,0.0011323611,0.2,,
,,,,1000000,,,,,-0.000593829983699834,0.4087536334991455,244,0.0044097900390625,0.11414986848831177,-0.27091120928525925,0.0001,0.8395970463752747,0.0005826149,0.2,0.017,1.478
1.43,0.423,0.49,265,1015808,3820,62,0.087,-0.17,,,,,,,,,,,,
1.35,0.4095,0.51,269,1032192,3824,63,0.0805,0.015,-0.0002270090608362807,0.411615252494812,248,0.00115966796875,0.10760712623596191,-0.27331090811640024,0.0001,0.8406330943107605,0.000118194504,0.2,,
,0.429,0.4925,,1040000,,,0.0785,,-0.0005867265899723861,0.40223419666290283,252,0.0072021484375,0.11721998453140259,-0.2699229707941413,0.0001,0.8355938773602247,0.0016398559,0.2,-0.047,1.492
1.45,0.443,0.487,274,1048576,3822,64,0.07,0.08,,,,,,,,,,,,
1.41,0.4205,0.4955,278,1064960,3821,65,0.084,-0.365,1.7280301108257845e-05,0.4043341875076294,256,0.0041351318359375,0.11438411474227905,-0.26955619268119335,0.0001,0.835591645911336,0.0005036088,0.2,,
,0.4375,0.4785,,1080000,,,0.084,,-0.0004043559565616306,0.421272873878479,260,0.0017547607421875,0.11621862649917603,-0.26626356691122055,0.0001,0.8382941279560328,0.0010456345,0.2,0.056,1.544
1.55,0.4245,0.493,283,1081344,3814,66,0.0825,0.06,,,,,,,,,,,,
1.37,0.432,0.4885,288,1097728,3811,67,0.0795,-0.03,-0.0006840096721134614,0.40878406167030334,264,0.0093841552734375,0.10898357629776001,-0.2628975254483521,0.0001,0.8421770390123129,0.0018357525,0.2,,
1.5,0.4335,0.478,292,1114112,3812,68,0.0885,-0.12,-0.0008135429961839691,0.3983197808265686,268,0.0111236572265625,0.11447447538375854,-0.25399544555693865,0.0001,0.8366953171789646,0.0015931313,0.2,,
